,var,rel.inf,,,
ACNS,ACNS,0,,,ZAGG_C210PBL
ACNT,ACNT,0,,,ZAGG_C210PDV
ACPM,ACPM,0,,,ZAGG_C210WHT
ACRN,ACRN,0,,,ZAGG_CCW
ADAN,ADAN,0,,,ZAGG_COLLEGE
ADBT,ADBT,0,,,ZAGG_ESTINC30_007
ADDE,ADDE,0,,,ZAGG_ESTINC30_017
ADEN,ADEN,0,,,ZAGG_ESTINC30_025
ADEP,ADEP,0,,,ZAGG_ESTINC30_035
ADGS,ADGS,0,,,ZAGG_ESTINC30_045
ADIS,ADIS,0,,,ZAGG_ESTINC30_055
ADNT,ADNT,0,,,ZAGG_ESTINC30_067
ADOM,ADOM,0,,,ZAGG_ESTINC30_174
ADOT,ADOT,0,,,ZAGG_ESTINC30_224
ADRY,ADRY,0,,,ZAGG_ESTINC30_324
ADT1,ADT1,0,,,ZAGG_ESTINC30_449
ADT2,ADT2,0,,,ZAGG_ESTINC30_500
ADTU,ADTU,0,,,ZAGG_ESTINC30__AVE_A_
ADUM,ADUM,0,,,ZAGG_FINB
AECZ,AECZ,0,,,ZAGG_HOMSTAT_R
AERC,AERC,0,,,ZAGG_HOMSTAT_T
AFOD,AFOD,0,,,ZAGG_HOMSTAT_U
AFTA,AFTA,0,,,ZAGG_HOMSTAT_Y
AFTC,AFTC,0,,,ZAGG_IDNAT
AGAS,AGAS,0,,,ZAGG_IHGO
AGAST,AGAST,0,,,ZAGG_IHGREEN
AGBLOOD,AGBLOOD,0,,,ZAGG_IHIGHSCL
AGCANCER,AGCANCER,0,,,ZAGG_IHORSE
AGDIAB,AGDIAB,0,,,ZAGG_ILOR_15
AGDIG,AGDIG,0,,,ZAGG_IMGO
AGFEM,AGFEM,0,,,ZAGG_INSHOP
AGFOOT,AGFOOT,0,,,ZAGG_IOLA
AGHEART,AGHEART,0,,,ZAGG_IOMO
AGJOINT,AGJOINT,0,,,ZAGG_IORV
AGMALE,AGMALE,0,,,ZAGG_IOR_6
AGMOUTH,AGMOUTH,0,,,ZAGG_IRAS
AGNOSE,AGNOSE,0,,,ZAGG_ISCA
AGPAIN,AGPAIN,0,,,ZAGG_ITRV
AGPROG,AGPROG,0,,,ZAGG_MEDSUP_9
AGPSYCO,AGPSYCO,0,,,ZAGG_MOBPLUS_M
AGRD,AGRD,0,,,ZAGG_MOBPLUS_P
AGRESP,AGRESP,0,,,ZAGG_NETW30_0000
AGSKIN,AGSKIN,0,,,ZAGG_NETW30_0003
AGURINAR,AGURINAR,0,,,ZAGG_NETW30_0019
AGWEIGHT,AGWEIGHT,0,,,ZAGG_NETW30_0037
AHAR,AHAR,0,,,ZAGG_NETW30_0062
AHBP,AHBP,0,,,ZAGG_NETW30_0087
AHCH,AHCH,0,,,ZAGG_NETW30_0625
AHED,AHED,0,,,ZAGG_NETW30_0875
AHEM,AHEM,0,,,ZAGG_NETW30_1000
AHRA,AHRA,0,,,ZAGG_NETW30__AVE_A_
AHRL,AHRL,0,,,ZAGG_OACHILD
AHRT,AHRT,0,,,ZAGG_OAGEN
AIBS,AIBS,0,,,ZAGG_OAMEN
AILM,AILM,0,,,ZAGG_OANOGEN
AILMENTS,AILMENTS,0,,,ZAGG_OAPETITE
AINS,AINS,0,,,ZAGG_OARTS
AIRCRAFT,AIRCRAFT,0,,,ZAGG_OATEEN
AIRR,AIRR,0,,,ZAGG_OAWOMEN
AKID,AKID,0,,,ZAGG_OCHILDPR
ALAC,ALAC,0,,,ZAGG_OCOMPHMO
ALGT_FLAG,ALGT_FLAG,0,,,ZAGG_OFOOD
ALNG,ALNG,0,,,ZAGG_OFURNITR
AMAC,AMAC,0,,,ZAGG_OGIFT
AMEN,AMEN,0,,,ZAGG_OHMCARE
AMGR,AMGR,0,,,ZAGG_OHOLIDAY
AMLS,AMLS,0,,,ZAGG_OJEWELRY
ANAS,ANAS,0,,,ZAGG_OSPECFD
ANOS,ANOS,0,,,ZAGG_OSTATION
AOST,AOST,0,,,ZAGG_PBRONCH
APAN,APAN,0,,,ZAGG_PDIADIET
APAR,APAR,0,,,ZAGG_PHEARTAT
APRK,APRK,0,,,ZAGG_PHRTMEDS
ARES,ARES,0,,,ZAGG_PORALINJ
ARHM,ARHM,0,,,ZAGG_PPAIN
ASIR,ASIR,0,,,ZAGG_PRESRI
ASKN,ASKN,0,,,ZAGG_PRHEUMTS
ASNR,ASNR,0,,,ZAGG_PSIR
ASTK,ASTK,0,,,ZAGG_PSKINMED
ATNF,ATNF,0,,,ZAGG_PVIAGRA
ATTH,ATTH,0,,,ZAGG_RAGEN
ATV,ATV,0,,,ZAGG_RARTS
AVG_AMOUNT_PAID,AVG_AMOUNT_PAID,0,,,ZAGG_RATEEN
AVIS,AVIS,0,,,ZAGG_RAWOMEN
AWGH,AWGH,0,,,ZAGG_RBOOKS
BAL_1STMTGCREDIT,BAL_1STMTGCREDIT,0,,,ZAGG_RCOMPHMO
BAL_1STMTGCREDIT_60DPD,BAL_1STMTGCREDIT_60DPD,0,,,ZAGG_RCRAFTS
BAL_1STMTGCREDIT_NEW,BAL_1STMTGCREDIT_NEW,0,,,ZAGG_RC_M
BAL_1STMTG_30TO59DPD,BAL_1STMTG_30TO59DPD,0,,,ZAGG_RDOLLARS
BAL_1STMTG_60TO89DPD,BAL_1STMTG_60TO89DPD,0,,,ZAGG_RELECTNC
BAL_1STMTG_90TO119DPD,BAL_1STMTG_90TO119DPD,0,,,ZAGG_RETAIL
BAL_1STMTG_BANKRUPTCY,BAL_1STMTG_BANKRUPTCY,0,,,ZAGG_RHEALTH
